 fishing_year,identification,capture_method,method,target,area,latitude,longitude,excluded,status,taxon
2010/2011,necropsy,hook,surface longline,Southern bluefin tuna,Fiordland,164.7260584,-44.45482861,,dead,Bird
2010/2011,necropsy,hook,surface longline,Southern bluefin tuna,Fiordland,164.7549543,-44.4493431,,dead,Bird
2010/2011,necropsy,hook,surface longline,Southern bluefin tuna,Fiordland,164.6975758,-44.76304817,,dead,Bird
2010/2011,observer,hook,surface longline,Southern bluefin tuna,Fiordland,164.7210879,-44.576164,,alive,Seal
2010/2011,observer,net,trawl,Hake,East Coast South Island,174.1196716,-43.33571233,,dead,Seal
2010/2011,observer,hook,surface longline,Southern bluefin tuna,East Coast North Island,178.5776996,-39.4537228,,alive,Turtle
2010/2011,necropsy,hook,surface longline,Southern bluefin tuna,Fiordland,164.6596829,-44.73478294,,dead,Bird
2010/2011,observer,hook,surface longline,Southern bluefin tuna,Fiordland,164.636816,-44.73160259,,alive,Seal
2010/2011,observer,hook,surface longline,Southern bluefin tuna,Fiordland,164.4667837,-44.46865971,,alive,Seal
2010/2011,necropsy,hook,surface longline,Southern bluefin tuna,Fiordland,164.7624729,-44.13054419,,dead,Bird
2010/2011,necropsy,hook,surface longline,Southern bluefin tuna,Fiordland,164.5035418,-44.62886722,,dead,Bird
2010/2011,necropsy,hook,surface longline,Southern bluefin tuna,East Coast North Island,178.6865632,-39.33236239,,dead,Bird
2010/2011,necropsy,hook,surface longline,Southern bluefin tuna,Fiordland,164.9737132,-44.14139433,,dead,Bird
