 fishing_year,identification,capture_method,method,target,area,latitude,longitude,excluded,status,taxon
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.3655815,-51.16930384,,dead,Bird
2010/2011,necropsy,net,trawl,Barracouta,East Coast South Island,173.7493393,-43.83924937,,dead,Bird
2010/2011,imputation,deck,trawl,Arrow squid,Stewart Snares Shelf,167.2356173,-48.79861266,deck,alive,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,167.2848025,-48.79481762,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.214613,-48.30080737,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.6183799,-48.00477692,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.8155239,-47.75729218,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,167.0215383,-51.010813,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.9924558,-50.98294496,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.9811696,-50.9835641,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,167.0080176,-51.01293812,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,167.0225297,-50.99807139,,dead,Bird
